row.ID,row.m.z,row.retention.time,s200525_Dog_Blank_01.mzXML.Peak.area,s200525_Dog_4h_02.mzXML.Peak.area,s200525_Dog_4h_03.mzXML.Peak.area,s200525_Dog_4h_01.mzXML.Peak.area,s200525_Dog_Blank_03.mzXML.Peak.area,s200525_Dog_Blank_02.mzXML.Peak.area,s200525_HUMAN_4h_01.mzXML.Peak.area,s200525_HUMAN_4h_02.mzXML.Peak.area,s200525_HUMAN_Blank_02.mzXML.Peak.area,s200525_HUMAN_4h_03.mzXML.Peak.area,s200525_HUMAN_Blank_01.mzXML.Peak.area,s200525_Mk_4h_02.mzXML.Peak.area,s200525_Mk_4h_03.mzXML.Peak.area,s200525_HUMAN_Blank_03.mzXML.Peak.area,s200525_Mk_4h_01.mzXML.Peak.area,s200525_Mk_Blank_02.mzXML.Peak.area,s200525_Mk_Blank_03.mzXML.Peak.area,s200525_Mou_4h_01.mzXML.Peak.area,s200525_Mk_Blank_01.mzXML.Peak.area,s200525_Mou_Blank_01.mzXML.Peak.area,s200525_Mou_Blank_02.mzXML.Peak.area,s200525_Mou_4h_03.mzXML.Peak.area,s200525_Mou_4h_02.mzXML.Peak.area,s200525_Rat_4h_02.mzXML.Peak.area,s200525_Mou_Blank_03.mzXML.Peak.area,s200525_Rat_Blank_02.mzXML.Peak.area,s200525_Rat_4h_01.mzXML.Peak.area,s200525_Rat_Blank_03.mzXML.Peak.area,s200525_Rat_4h_03.mzXML.Peak.area,s200525_Rat_Blank_01.mzXML.Peak.area
239,12283,507.203799114523,18.9443137254902,0,49826.0099295045,54027.9841830444,52310.7262579346,0,0,231415.464348145,224162.954206848,0,238719.344019776,0,135169.722819214,134697.475280763,0,133864.183496093,683.67907943726,0,48764.5239117432,636.134687499992,0,0,45978.2182092287,42854.8937274171,8941.32862655641,0,0,4626.70244133001,0,8067.82834991462,0
252,13116,491.177968004695,22.3983431372549,0,17534.5188256838,0,14826.2177539065,0,0,41406.8514324952,46127.5820391845,639.031249999982,32362.9293441775,0,614003.716661988,607251.905561524,644.439687500014,635632.95307495,0,0,106015.970952758,1072.22322204588,0,0,100207.805113526,109941.510157471,176847.152528382,0,0,172916.900759887,0,177706.233104858,0
255,13222,491.209684102826,5.35864015151515,0,23338.8555921631,24853.5603208923,23599.973305481,891.034245773318,822.361750000007,9164196.29258734,9634285.08547366,0,9387102.07628286,0,880073.41341745,821292.948787506,0,812017.044674744,752.816001403802,650.662800872803,13850838.1965258,0,5044.3003482666,0,13611625.1125288,13869756.1642057,15381.238926651,772.9948367157,0,14587.2881657868,626.060078773497,11204.5241748276,0
256,13638,509.185362551738,18.066298245614,0,22870.2212078858,28420.8063223266,21969.0095819093,0,0,40635.6439044187,32741.7408569337,673.469216308585,39143.9482934568,0,324414.691226501,309810.912786865,0,325746.158914186,0,721.987360763555,116216.090874329,625.872788696281,0,625.589387207023,114477.948295898,112193.929104004,165590.888938599,0,0,157253.512200623,0,164122.077521973,0
263,15583,477.193758503597,6.03080833333333,0,19740.9876960297,12615.7796335145,18101.5146029053,0,0,18796.2903978577,19271.3002712403,0,23148.59512146,710.415793792733,120237.467037109,124129.806947082,753.003585266113,118478.23039093,615.62455166626,0,107493.227237641,0,0,0,107274.675252808,108226.171540817,426642.732581421,0,0,436457.559998565,0,433668.324760254,0
265,16869,450.147255575308,23.2670952380952,0,6570.2244591523,0,31618.0746914671,0,0,76289.7153948974,72972.4508691408,0,73834.2900808715,0,372547.087463378,380798.91249176,0,403982.403675232,0,0,19940.2088490298,0,0,0,16580.6289700318,17187.6698812867,46136.5025344847,0,0,46912.7252557373,0,49350.0985400391,0
281,19277,507.204380634716,6.09563111111111,0,5735.97605727387,3853.63873233034,4110.04376516722,0,0,183985.471291504,185899.497910095,0,183139.334369476,0,104183.254848328,107160.908440613,0,106328.756511353,0,0,566812.988799683,0,0,0,539684.570061402,531855.20016507,4994.47971543884,0,0,4287.81957850647,0,4605.64345349121,0
282,19299,465.193687556135,3.93524252873563,1072.98817700196,2969.15022961426,1688.27231277467,1497.88497158813,1325.57480323792,1671.3677861023,167208.515258728,171129.762914185,1113.02119238281,174108.046886719,788.460163085938,117677.402332886,124337.167940186,0,132751.565373291,225721.928426331,61954.978055603,595522.345699737,92359.0308831177,9585.52054647826,9165.87035614014,547026.147004577,546209.574140198,32804.1406529846,7535.03397947693,364302.765452179,30728.0478026428,310589.878880035,30108.7467855835,396409.045102173
283,19312,477.193772919302,5.32516481481482,0,10903.8688273926,8505.59567959595,9064.79356399536,0,0,150178.469423218,149644.748935577,0,144575.576140747,0,85831.8003148803,91173.9686882324,0,90182.2533858032,0,716.764272537229,395544.428954529,731.121147537223,0,0,371180.976523438,364509.804292542,73639.9229361267,915.409468170157,0,79745.9904444581,0,71982.7139967345,0
287,19440,489.19395071721,5.63426333333333,0,0,0,0,0,0,113680.889290863,118620.213895019,0,117904.338515259,0,6755.20169311524,6730.53692852783,0,6940.01215745544,0,0,56018.3579525757,0,0,0,43280.5669266357,59690.289557373,0,0,0,0,623.032269744868,0,0
296,19994,493.191616787438,19.5193157894737,645.318001708976,6328.65109863273,5721.90935668949,5626.32414550774,0,705.401188278228,54182.9471948244,48748.1245568846,0,48254.4160644535,0,1106951.02112732,1091842.1140387,760.726737670888,1162557.44812195,0,871.921077728277,107407.964824218,0,0,0,119980.938886109,114369.991984253,156407.403027344,0,0,156127.857481079,0,154889.394938354,0
299,20198,493.190653947928,13.6597601851852,0,11641.0593625641,12901.0827405853,11974.481583374,0,0,44115.1390617371,43633.775150116,0,45305.5341919251,0,269694.454236389,265447.151826293,665.58881306458,282437.443326599,795.673125000011,0,19123.5452432251,0,1662.90028614808,0,23376.0943234558,19436.5150907898,100977.692106537,0,0,96347.0051151123,0,101996.863785736,0
306,20615,507.170549481729,18.3226666666667,0,2208.17464233402,6219.41521888737,751.97999999999,0,0,37346.8937033083,25530.0516491698,0,31353.6677807618,0,134269.725446167,138707.718235474,0,144148.733364257,0,813.363307189918,46270.6399978637,0,0,0,42901.9347186281,39316.8769772339,27135.9692623901,0,0,15581.9824581909,0,26291.0622073363,0
310,21761,451.179223373841,4.10640083333333,0,1311.08374377441,0,3853.40083866883,765.432997741697,0,2730.60114167786,15560.1225101318,670.401298950195,17394.2601246338,0,122363.986298157,122055.724292297,0,128703.661543396,0,803.613047302246,79927.3429753113,0,0,703.783387390137,76896.4003347778,70941.7985916138,328948.321773681,4802.80047545623,0,344359.240792084,758.831089141846,345624.644698426,0
316,24889,392.148183808822,20.7167222222222,0,0,0,0,0,0,213235.538222656,138017.020000001,0,210113.987265627,0,2491927.67082032,2474545.54685548,0,2624246.02019531,0,0,0,0,0,0,0,0,2316408.25277345,0,0,2176084.26115235,0,2353714.46789061,0
323,24898,465.194511107866,4.46321034482759,2242.65549320221,4062.86117593384,5294.21118638612,5906.47800467681,0,1137.3162306671,22338.7993166504,23000.2394673004,807.66233178711,24160.4789015503,624.162319366456,512419.119708985,511848.402461059,644.101640281681,532252.662440308,27292.5306463623,10791.3375349426,215181.79737561,18915.1567639771,3718.72649007416,5854.62521942138,202418.769211243,194933.633800385,168186.870496551,4155.09468005372,43852.2959893188,191326.727255981,35144.6720899048,176427.380993286,79470.0418882445
325,24901,421.16985563124,15.3723202898551,1467.69782066346,1124.56174999999,1508.24603334045,0,813.433515655524,0,7594.61245133972,5048.60536352539,0,8638.43193392945,795.185824356062,367555.800193115,358039.062194519,671.846880455022,381657.197748627,922.046525817879,632.903939666743,30347.530930542,720.104336212152,0,0,24127.3166193847,26326.1093723755,312378.715831909,0,0,309693.45593106,827.839124999993,301342.971528595,812.193843612654
330,24933,378.125395676483,10.2747197916667,0,1225.12615948485,2175.75270108032,1468.78773171997,0,0,6144.04193092347,6942.3616519775,0,6475.60906567381,0,139885.976649048,146205.296897583,0,156585.409773437,0,0,18419.0507713623,668.476676597597,0,0,16623.2610422058,18220.7953954773,26899.9746895752,0,0,35000.7727875671,0,32080.4716866456,0
332,24942,422.15284474112,11.3420255555556,0,1956.19905663303,836.061244354245,2277.23318659972,0,0,6332.55550421144,6287.68655361938,0,6841.8102008667,0,124156.766860748,131813.19976294,0,137019.060139221,0,0,18386.4462187805,0,0,0,17372.1181610718,20020.2690683746,11304.7541426086,0,0,23779.3677104187,0,21380.1633662109,0
334,24986,540.204600328285,13.047675,0,824.552721405041,2270.03999484253,4518.72226799011,0,0,14243.1602967224,14385.9541472168,0,14335.5011850739,870.212696350105,98114.9901578979,96050.7726377564,0,100815.3057052,0,0,10484.4068985443,0,0,0,7937.46818603519,11376.4572787781,134796.875725464,0,0,145113.984970337,0,137976.253824615,0
343,25320,433.180123477205,18.5114666666667,0,2012.51351196294,2923.02950317389,4663.34675750739,0,0,29391.4117250061,23914.6122961427,0,22271.7469476318,981.423437500006,8342.75100341819,24963.3896752928,0,37154.6575921632,1411.32734313963,1514.73718261718,15256.2832592773,0,1484.51875000003,0,16810.43692688,20525.2498574827,334473.523850099,0,0,349746.959607544,2451.59753189085,346826.202965086,0
344,25324,407.155200625056,14.7049205128205,0,0,0,0,0,0,3834.35618157956,4650.95670626831,0,10325.6268009491,0,33075.3241123963,34561.7097784424,862.283891342166,34302.859524231,0,0,3472.97241119387,0,0,0,6767.86164910887,6159.85873974608,250048.007968872,0,0,245586.945367157,0,250407.295374817,0
383,30797,449.165788084357,20.0243611111111,0,649.47879638671,0,658.315625000004,0,0,0,645.245976257316,726.029079437235,823.165753784169,0,7543.08896667493,8596.07101409895,611.68891677859,13102.7735255432,0,744.150000000031,10208.1994564819,0,0,0,8184.53705200207,13065.1484326935,308012.454336547,0,605.822024917585,318458.760590515,0,308061.414463196,815.159730834979
384,30818,491.177419004825,21.8118452380952,0,0,0,0,0,0,8674.69170898438,4494.96559204095,0,3534.92124389663,0,109792.353959961,131290.083479004,0,113625.849295654,704.535779724137,0,3055.14937591555,885.001562500037,0,0,8695.62223907451,0,357561.172022095,0,702.992094116227,348487.412077026,0,363708.717254638,0
