	s200525_Dog_4h_02.mzXML	s200525_Dog_Blank_01.mzXML	s200525_Dog_4h_01.mzXML	s200525_Dog_4h_03.mzXML	s200525_Dog_Blank_02.mzXML	s200525_Dog_Blank_03.mzXML	s200525_HUMAN_4h_01.mzXML	s200525_HUMAN_4h_02.mzXML	s200525_HUMAN_Blank_02.mzXML	s200525_HUMAN_Blank_01.mzXML	s200525_HUMAN_Blank_03.mzXML	s200525_HUMAN_4h_03.mzXML	s200525_Mk_4h_03.mzXML	s200525_Mk_4h_01.mzXML	s200525_Mk_Blank_01.mzXML	s200525_Mk_4h_02.mzXML	s200525_Mou_4h_01.mzXML	s200525_Mou_4h_02.mzXML	s200525_Mk_Blank_02.mzXML	s200525_Mk_Blank_03.mzXML	s200525_Mou_Blank_02.mzXML	s200525_Mou_Blank_01.mzXML	s200525_Mou_4h_03.mzXML	s200525_Mou_Blank_03.mzXML	s200525_Rat_4h_02.mzXML	s200525_Rat_Blank_01.mzXML	s200525_Rat_4h_03.mzXML	s200525_Rat_4h_01.mzXML	s200525_Rat_Blank_03.mzXML	s200525_Rat_Blank_02.mzXML
30296	11641.0593625641	0	11974.481583374	12901.0827405853	0	0	44698.0935430221	41372.2444475709	0	0	665.58881306458	40689.2480287324	266946.654383453	284046.871272095	0	271295.342062164	24105.4532989501	22726.9232044678	795.673125000011	0	0	1662.90028614808	23376.0943234558	0	104945.522145363	0	107763.18937899	97736.5921899719	0	0
30681	2208.17464233402	0	751.97999999999	6219.41521888737	0	0	33181.8878176881	33981.3329748534	0	0	0	30214.2469390869	132511.170478516	125814.870950926	0	134269.725446167	45736.8616336059	38448.955097351	0	813.363307189918	0	0	41888.594631958	0	27135.9692623901	0	26291.0622073363	15581.9824581909	0	0
31040	2012.51351196294	0	0	0	0	0	26261.202093048	21868.6663482667	1895.19846054077	0	0	21176.2341137693	45018.9084899902	38254.2773052981	0	35925.3237503048	4428.574520874	6122.59508300783	0	0	0	0	9443.28082092274	0	334473.523850099	0	346826.202965086	349746.959607544	961.406906890842	0
32037	0	0	0	0	0	0	116113.771604767	114672.084884033	0	0	0	133890.2457854	6730.53692852783	6420.60236668396	0	6755.20169311524	52061.7386967773	58314.4267463378	0	0	0	0	47744.2167761078	0	0	0	0	0	623.032269744868	0
39921	4062.86117593384	2242.65549320221	5906.47800467681	5294.21118638612	1137.3162306671	0	22338.7993166504	23000.2394673004	807.662331787109	624.162319366456	644.101640281681	24160.4789015503	511848.402461059	533863.390377015	18915.1567639771	516389.240806671	215181.79737561	194933.633800385	27292.5306463623	10791.3375349426	5854.62521942138	3718.72649007416	202418.769211243	4155.09468005372	171309.037294281	79470.0418882445	177747.060071258	199721.609833855	35144.6720899048	43852.2959893188
39927	1124.56174999999	1467.69782066346	0	1508.24603334045	0	813.433515655524	7594.61245133972	5048.60536352539	0	795.185824356063	671.846880455022	8638.43193392945	359845.307831176	384351.266325317	0	367555.800193115	25734.2312701873	21979.0085386353	922.046525817879	632.903939666743	0	0	23500.2877251282	0	312378.715831909	1491.10233879089	302851.572343292	309693.455931061	827.839124999993	0
39987	1956.19905663303	0	2277.23318659972	836.061244354245	0	0	6332.55550421144	6624.74383274841	0	0	0	7156.9465475006	136371.198171539	143083.100094818	0	126596.439389939	18386.4462187805	20020.2690683746	0	0	0	0	17372.1181610718	0	11304.7541426086	0	25241.154862442	23779.3677104187	0	0
40003	5925.98097668457	0	3853.40083866882	4353.54002478027	0	765.432997741697	2662.40397239685	7525.98123487853	670.401298950195	0	0	9840.28836685181	123953.20736322	130393.207534058	0	125576.401302643	31751.2110708008	27016.0268078919	0	0	757.955374999993	0	29760.5111471557	2926.12360266876	330672.663095215	644.945905639644	346743.65354187	345988.038131668	758.831089141846	0
40041	824.552721405041	0	4518.72226799011	2270.03999484253	0	0	14243.1602967224	14385.9541472168	0	870.212696350105	0	14335.5011850739	101076.135057129	100815.3057052	0	102814.921754013	10484.4068985443	11376.4572787781	0	0	0	0	7937.46818603519	0	140208.901103653	0	140413.780389984	148017.788600037	0	0
40348	0	0	0	0	0	0	3834.35618157956	4650.95670626831	0	0	862.283891342166	10325.6268009491	37851.1822388153	36927.7764797822	0	32101.5149141388	3472.97241119387	6159.85873974608	0	0	0	0	6767.86164910887	0	250048.007968872	0	250407.295374817	245586.945367157	0	0
42299	649.47879638671	0	658.315625000004	0	0	0	0	645.245976257316	726.029079437235	0	611.68891677859	823.165753784169	8596.07101409895	13102.7735255432	0	7543.08896667493	10208.1994564819	13065.1484326935	0	744.150000000031	0	0	8184.53705200207	0	311270.468995666	815.159730834979	308061.414463196	318458.760590514	0	605.822024917585
50423	0	0	0	0	0	0	3782.54067932121	4901.63407379159	0	0	0	1097.93985656737	115997.046789552	0	885.001562500037	109792.353959961	3055.14937591555	0	704.535779724137	0	0	0	8695.62223907451	0	142862.976079102	0	363708.717254638	153522.653972168	0	702.992094116227
