row ID,row m/z,row retention time,s200512_1h_01.mzXML Peak area,s200512_0h_01.mzXML Peak area,s200512_0h_03.mzXML Peak area,s200512_0h_02.mzXML Peak area,s200512_1h_02.mzXML Peak area,s200512_2h_01.mzXML Peak area,s200512_1h_03.mzXML Peak area,s200512_2h_02.mzXML Peak area,s200512_4h_01.mzXML Peak area,s200512_4h_02.mzXML Peak area,s200512_2h_03.mzXML Peak area,s200512_4h_03.mzXML Peak area,s200512_30m_01.mzXML Peak area,s200512_30m_02.mzXML Peak area,s200512_Blank_01.mzXML Peak area,s200512_30m_03.mzXML Peak area,s200512_NoNGS_02.mzXML Peak area,s200512_NoNGS_01.mzXML Peak area,s200512_Blank_03.mzXML Peak area,s200512_Blank_02.mzXML Peak area,s200512_NoNGS_03.mzXML Peak area,
9,616.4602588828898,34.22719047619048,7356840.097875955,7446394.893486296,7345775.985976679,7339682.407519487,7277598.197861333,7458502.38492186,7440076.1230077995,7337060.8342968915,7718892.890185505,7566206.9128418295,7484044.005502912,7549592.728496089,7468712.99615237,7485413.360849733,7032631.533964794,7386498.909248032,7660214.254082018,7914271.186806698,7291855.769550826,7368574.730322209,7654532.571655229,
10,674.4988361979109,34.49319841269841,5561458.424980442,5030756.952851532,5704337.461054624,5252743.134633762,7662847.004194278,5530652.208867154,5694797.049790011,5619934.091704071,5874711.223906221,8114246.412817406,7656906.635268534,5824379.865693476,5658482.065478482,7833011.929140542,4472943.060175824,5502385.763261715,8210355.723754974,8266306.663925779,7079423.972910136,4547326.195654421,8191110.819648442,
11,440.2707110283406,34.706500000000005,1.0464953199531287E7,1.0887018097670848E7,1.1798086849697225E7,1.1054802637568345E7,9889564.818437457,1.0868515543622991E7,1.039682182839841E7,1.054827104948241E7,1.1303605459311603E7,1.1098444345126893E7,1.007748061191407E7,1.1116066937998015E7,1.1481123062001895E7,1.1582866158251898E7,9081803.078574294,1.0598441443911102E7,1.1601629850419872E7,1.1615096764687447E7,1.0445436374570325E7,1.0469530125566449E7,1.1408408732031262E7,
12,491.20588232528405,5.390990833333334,6047914.774431071,98406.15604377733,67316.13326940921,840.447634033206,3699778.6328427023,8728055.650121275,6112390.804132351,9025788.248757904,1.168223643842796E7,1.0623276177502915E7,8782388.609395962,1.1589402742515873E7,4129659.416690781,4259209.136903135,758.3465065612844,4110959.515203373,5685.603505081177,4468.458390441897,0,626.4882077026396,5479.708092597952,
13,391.2827042743523,36.57327777777778,1.2061630558097212E7,1.3338678971679727E7,1.3247590882903898E7,1.3187733929220837E7,1.2050077820602724E7,1.2504869885181975E7,1.2424230272854054E7,1.2518585886131568E7,1.2680535584507296E7,1.2712565872129489E7,1.2681854843350204E7,1.2454868757136513E7,1.2979069319833944E7,1.2965836086888429E7,356126.20487305074,1.3044252012769796E7,1.2369870030675E7,1.2504011195620194E7,2.0091417825720157E7,1.14646948890839E8,1.2334150542420443E7,
14,652.4962134798408,37.356920634920634,7323734.342901594,6860046.136494722,6584365.82168826,7987019.488669443,6766914.32443848,7515411.464229118,7520510.548731825,7516912.40714483,7638441.883718893,7740806.981582998,6882207.734564194,7548012.7065496575,7405978.713645592,7292841.253258703,8823047.444376228,6819497.517103241,7648201.32561031,7410628.0148047265,7092385.530383264,7173356.818886692,6932697.736112096,
15,558.4165812909339,33.91089682539682,8159129.519045408,8197496.072324195,8251552.197871104,8186069.071240263,8139393.642607464,8140286.180839817,8052797.299819341,8151826.681206108,8272994.729619185,8447577.281015616,8066023.989262696,8280015.717294875,8270116.748505929,7455593.920234417,7463140.53271482,7401756.347900345,8379855.715664092,8417578.6991504,8136768.762680695,8097229.705566404,8370476.732915019,
16,445.22546047649485,34.71129365079366,8492504.308388691,8597401.009003866,9102147.314365212,9778049.636738272,8571669.142822241,8837650.006660115,8820892.307109367,8311327.857734371,8970715.363291075,8967912.933544874,8597780.166582039,8388746.700527327,8822877.332851509,8572903.430253856,7155333.956933633,8865569.662480451,8804009.741113247,9913524.098081011,8161651.502207048,8172563.022793007,8793166.51277346,
17,467.20743597711254,34.71608730158731,1.0256541001186542E7,9754348.03024411,1.0888719108728003E7,1.046210462096191E7,1.0861506422963843E7,1.14051676911488E7,1.0857570901142567E7,1.130680518175049E7,1.1036524237607481E7,1.1404964946420848E7,1.1250909633955082E7,1.1263407180534648E7,1.086956576136349E7,1.1248210486815136E7,6596293.973808635,1.085454979787109E7,8764667.143867152,8524960.534208957,1.0013101891574726E7,1.0384005513940457E7,1.0245585331049832E7,
18,608.4707594497972,37.52946825396826,6281635.543178008,6145465.977003745,6163133.084973759,6690732.805114818,6372273.815794652,6435850.062231518,6434223.26345884,6411401.2790216245,6599515.162670887,6582881.765063529,6392566.1550452085,6514365.700526703,6264994.878376434,6295624.689395758,6499904.85609401,6247152.602115448,6593073.938137862,6369605.536249983,6191870.517096522,6116510.507409632,6459010.730517577,
19,790.5838754752622,35.00844444444445,2836753.5430077957,3194780.9311132855,3997715.9529248434,4417502.694843722,2926038.139072339,3752759.819531249,2760041.3335156366,3063959.529765653,3004287.8866992365,2992931.1472070133,3165973.37810545,3072563.2789257793,4274910.006049796,3145540.793935528,3134831.398476529,3272946.449101566,3027206.330488263,3160713.998818353,3187569.189023394,3481947.554160145,2889554.12242189,
20,621.4121780514519,34.2295873015873,3710436.1661523296,5716056.387812481,3807765.8904151022,3678171.704179654,5972263.358193347,6271289.982294934,3938580.04446289,4166265.7210400645,4060677.6772656008,4215059.7519629,4014816.724531227,3914288.849707018,6154176.003715866,3853360.2093701824,5909925.003481412,3990508.7695410503,5962583.174519045,3627422.284023469,3615871.75970703,5056140.133359356,3850982.2069653426,
21,679.4567885095662,34.49319841269841,2746904.4163769404,2348772.3270800645,4757114.1798827555,4546997.342282698,4221223.0377343325,5096993.528837893,4964847.03988647,5084380.599841274,2914223.3468554514,5084010.182896128,5011764.157441389,3279913.955849673,2822898.234238264,2823688.819511702,4325435.555663162,4964540.023721885,2985981.1196777644,2879094.641972638,4367949.393864736,4140743.7453223174,4831264.798959973,
