	s200512_1h_01.mzXML	s200512_0h_01.mzXML	s200512_0h_03.mzXML	s200512_0h_02.mzXML	s200512_1h_02.mzXML	s200512_2h_01.mzXML	s200512_1h_03.mzXML	s200512_2h_02.mzXML	s200512_4h_01.mzXML	s200512_4h_02.mzXML	s200512_2h_03.mzXML	s200512_4h_03.mzXML	s200512_30m_01.mzXML	s200512_30m_02.mzXML	s200512_Blank_01.mzXML	s200512_30m_03.mzXML	s200512_NoNGS_02.mzXML	s200512_NoNGS_01.mzXML	s200512_Blank_03.mzXML	s200512_Blank_02.mzXML	s200512_NoNGS_03.mzXML
370	462048.23700638	39903.368656311	22376.9329418946	5447.9854842376	493213.552834474	523754.860428469	434573.470162967	703872.46906433	589615.001923523	544637.418447264	672088.327593994	600399.02499481	456236.135993651	465841.294611971	0	453403.540019532	10025.2901721191	16964.0036413574	724.808018188467	0	13938.925343933
398	440988.493974611	0	0	0	437192.194077149	621918.038974609	449076.127213136	697963.584384763	738922.401279297	646164.404033201	624149.235854493	749291.524538574	211280.059697264	230241.567772218	0	225888.353022462	0	0	0	0	0
414	793903.434139862	7894.32228378302	1286.88266174319	763.73689346314	782375.310844118	1067696.73432068	995104.874988404	1149121.11169556	887860.347764284	789484.510002748	887506.011597904	1057837.3186615	745766.490777893	756473.343651124	0	751396.388411866	28211.9288821411	33086.123114624	2060.51324523928	0	22804.6407730103
432	293894.080817875	0	0	0	409361.75529419	347185.021389157	413204.454869387	434292.072504882	477716.573060303	420570.900847167	373454.656867679	445908.086864012	319977.942609863	323532.228551026	0	301850.778297121	0	0	0	0	0
527	411707.079134216	921.099999999988	3661.75211975093	1147.59999999998	1547638.85686433	516004.302449953	408276.935369568	564797.003790283	615198.277280581	533054.918294983	532130.899829714	614028.254417113	270703.868155518	278022.763706971	0	274886.407311707	1164.43174438479	697.548032379155	783.7056045532	980.186952514636	994.254080810534
843	220535.283021238	13478.9455090331	12740.7012649537	0	230462.09784851	278279.119573975	244489.322513427	308902.961174317	468417.490558471	310839.923398438	449426.166600951	463828.380724488	239902.181207277	253807.442474974	0	245990.818322142	0	2117.86937499997	0	0	0
1256	200221.165340575	4204.7221850585	4706.15734283458	0	262279.070380248	261867.037701415	209460.645648193	283094.300834352	238201.920433958	236409.447043457	216296.995784454	260256.653649447	217237.747106476	219434.877908325	0	210835.514133147	697.27213043212	633.193348693862	0	710.035565795889	0
1647	241872.975241104	14679.4457951661	16734.2851718903	3442.8347716217	215801.948907044	260063.598583008	239372.455455139	254272.229843018	242712.127704621	220959.841276489	206442.135485107	251698.112823295	204024.971920868	210217.969918274	3217.67568433379	200243.725723389	3912.19619870759	1305.9977739563	0	0	2111.77251708982
3592	96434.1000388489	0	0	660.088499999999	49553.3758181915	134799.444994507	90735.6090013733	193968.120189209	222112.413923523	186261.438600128	164664.602894348	243093.9851259	56990.6270834504	62823.9383694305	728.224650466918	57529.6388425903	671.235421943662	0	0	0	0
5756	117657.403561951	1083.0475	813.520525436404	0	105978.258774933	123722.189026184	84379.4592141418	114478.794905487	130946.667610535	120424.801492096	125954.504035614	134401.993321457	84179.4562832946	89258.8685001219	0	82445.1048052979	868.047682907092	0	0	704.664801055904	809.027844238285
9732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
